season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2020 Summer Season,Week 5,10.14,RGE,S04,1 - 0
LEC 2020 Summer Season,Week 5,10.14,MSF,FNC,0 - 1
LEC 2020 Summer Season,Week 5,10.14,MAD,XL,1 - 0
LEC 2020 Summer Season,Week 5,10.14,G2,OG,0 - 1
LEC 2020 Summer Season,Week 5,10.14,SK,S04,1 - 0
LEC 2020 Summer Season,Week 5,10.14,RGE,XL,1 - 0
LEC 2020 Summer Season,Week 5,10.14,MSF,OG,0 - 1
LEC 2020 Summer Season,Week 5,10.14,VIT,FNC,0 - 1
LEC 2020 Summer Season,Week 5,10.14,G2,MAD,0 - 1
LEC 2020 Summer Season,Week 6,10.14,SK,XL,0 - 1
LEC 2020 Summer Season,Week 6,10.14,VIT,OG,1 - 0
LEC 2020 Summer Season,Week 6,10.14,G2,S04,0 - 1
LEC 2020 Summer Season,Week 6,10.14,MSF,RGE,0 - 1
LEC 2020 Summer Season,Week 6,10.14,FNC,MAD,0 - 1
LEC 2020 Summer Season,Week 6,10.14,VIT,XL,0 - 1
LEC 2020 Summer Season,Week 6,10.14,MSF,S04,0 - 1
LEC 2020 Summer Season,Week 6,10.14,MAD,SK,0 - 1
LEC 2020 Summer Season,Week 6,10.14,FNC,OG,1 - 0
LEC 2020 Summer Season,Week 6,10.14,G2,RGE,1 - 0
LEC 2020 Summer Season,Week 7,10.15,S04,XL,1 - 0
LEC 2020 Summer Season,Week 7,10.15,MSF,SK,1 - 0
LEC 2020 Summer Season,Week 7,10.15,MAD,OG,1 - 0
LEC 2020 Summer Season,Week 7,10.15,VIT,G2,0 - 1
LEC 2021 Spring Season,Week 1,11.1,AST,SK,0 - 1
LEC 2021 Spring Season,Week 1,11.1,RGE,XL,1 - 0
LEC 2021 Spring Season,Week 1,11.1,VIT,S04,0 - 1
LEC 2021 Spring Season,Week 1,11.1,MSF,FNC,1 - 0
LEC 2021 Spring Season,Week 1,11.1,S04,XL,0 - 1
LEC 2021 Spring Season,Week 1,11.1,VIT,MSF,1 - 0
LEC 2021 Spring Season,Week 1,11.1,MAD,AST,1 - 0
LEC 2021 Spring Season,Week 1,11.1,G2,SK,1 - 0
LEC 2021 Spring Season,Week 1,11.1,FNC,RGE,0 - 1
LEC 2021 Spring Season,Week 1,11.1,AST,VIT,1 - 0
LEC 2021 Spring Season,Week 1,11.1,RGE,SK,1 - 0
LEC 2021 Spring Season,Week 1,11.1,MSF,MAD,1 - 0
LEC 2021 Spring Season,Week 1,11.1,FNC,S04,1 - 0
LEC 2021 Spring Season,Week 1,11.1,XL,G2,0 - 1
LEC 2021 Spring Season,Week 2,11.2,MAD,XL,1 - 0
LEC 2021 Spring Season,Week 2,11.2,S04,SK,1 - 0
LEC 2021 Spring Season,Week 2,11.2,G2,AST,1 - 0
LEC 2021 Spring Season,Week 2,11.2,MSF,RGE,0 - 1
LEC 2021 Spring Season,Week 2,11.2,VIT,FNC,0 - 1
LEC 2021 Spring Season,Week 2,11.2,XL,AST,1 - 0
LEC 2021 Spring Season,Week 2,11.2,MSF,SK,0 - 1
LEC 2021 Spring Season,Week 2,11.2,VIT,RGE,0 - 1
LEC 2021 Spring Season,Week 2,11.2,S04,G2,1 - 0
LEC 2021 Spring Season,Week 2,11.2,FNC,MAD,0 - 1
LEC 2021 Spring Season,Week 3,11.2,MSF,XL,0 - 1
LEC 2021 Spring Season,Week 3,11.2,MAD,SK,0 - 1
LEC 2021 Spring Season,Week 3,11.2,VIT,G2,0 - 1
LEC 2021 Spring Season,Week 3,11.2,S04,RGE,1 - 0
LEC 2021 Spring Season,Week 3,11.2,FNC,AST,1 - 0
LEC 2021 Spring Season,Week 3,11.2,S04,MSF,1 - 0
LEC 2021 Spring Season,Week 3,11.2,XL,SK,1 - 0
LEC 2021 Spring Season,Week 3,11.2,VIT,MAD,0 - 1
LEC 2021 Spring Season,Week 3,11.2,RGE,AST,1 - 0
LEC 2021 Spring Season,Week 3,11.2,G2,FNC,0 - 1
LEC 2020 Summer Season,Week 7,10.15,FNC,RGE,0 - 1
LEC 2020 Summer Season,Week 7,10.15,OG,S04,0 - 1
LEC 2020 Summer Season,Week 7,10.15,MSF,XL,0 - 1
LEC 2020 Summer Season,Week 7,10.15,RGE,SK,0 - 1
LEC 2020 Summer Season,Week 7,10.15,VIT,MAD,1 - 0
LEC 2020 Summer Season,Week 7,10.15,G2,FNC,1 - 0
LEC 2020 Summer Season,Week 8,10.11,VIT,RGE,1 - 0
LEC 2020 Summer Season,Week 8,10.11,OG,XL,0 - 1
LEC 2020 Summer Season,Week 8,10.11,FNC,S04,0 - 1
LEC 2020 Summer Season,Week 8,10.11,MSF,MAD,0 - 1
LEC 2020 Summer Season,Week 8,10.11,G2,SK,1 - 0
LEC 2020 Summer Season,Week 8,10.11,VIT,S04,0 - 1
LEC 2020 Summer Season,Week 8,10.11,OG,SK,0 - 1
LEC 2020 Summer Season,Week 8,10.11,FNC,XL,1 - 0
LEC 2020 Summer Season,Week 8,10.11,MSF,G2,0 - 1
LEC 2020 Summer Season,Week 8,10.11,MAD,RGE,0 - 1
LEC 2020 Summer Season,Week 8,10.11,VIT,MSF,0 - 1
LEC 2020 Summer Season,Week 8,10.11,MAD,S04,0 - 1
LEC 2020 Summer Season,Week 8,10.11,RGE,OG,1 - 0
LEC 2020 Summer Season,Week 8,10.11,G2,XL,1 - 0
LEC 2020 Summer Season,Week 8,10.11,FNC,SK,1 - 0
LEC 2021 Spring Season,Week 4,11.3,S04,AST,0 - 1
LEC 2021 Spring Season,Week 4,11.3,VIT,XL,0 - 1
LEC 2021 Spring Season,Week 4,11.3,MSF,G2,0 - 1
LEC 2021 Spring Season,Week 4,11.3,MAD,RGE,0 - 1
LEC 2021 Spring Season,Week 4,11.3,FNC,SK,1 - 0
LEC 2021 Spring Season,Week 4,11.3,VIT,SK,0 - 1
LEC 2021 Spring Season,Week 4,11.3,MSF,AST,1 - 0
LEC 2021 Spring Season,Week 4,11.3,S04,MAD,0 - 1
LEC 2021 Spring Season,Week 4,11.3,G2,RGE,1 - 0
LEC 2021 Spring Season,Week 4,11.3,FNC,XL,1 - 0
LEC 2021 Spring Season,Week 5,11.3,S04,SK,0 - 1
LEC 2021 Spring Season,Week 5,11.3,MAD,XL,1 - 0
LEC 2021 Spring Season,Week 5,11.3,G2,AST,1 - 0
LEC 2021 Spring Season,Week 5,11.3,MSF,RGE,0 - 1
LEC 2021 Spring Season,Week 5,11.3,VIT,FNC,1 - 0
LEC 2021 Spring Season,Week 5,11.3,XL,AST,0 - 1
LEC 2021 Spring Season,Week 5,11.3,MSF,SK,0 - 1
LEC 2021 Spring Season,Week 5,11.3,VIT,RGE,0 - 1
LEC 2021 Spring Season,Week 5,11.3,FNC,MAD,0 - 1
LEC 2021 Spring Season,Week 5,11.3,S04,G2,0 - 1
LEC 2021 Spring Season,Week 6,11.4,MAD,SK,0 - 1
LEC 2021 Spring Season,Week 6,11.4,MSF,XL,1 - 0
LEC 2021 Spring Season,Week 6,11.4,VIT,G2,0 - 1
LEC 2021 Spring Season,Week 6,11.4,S04,RGE,0 - 1
LEC 2021 Spring Season,Week 6,11.4,FNC,AST,1 - 0
LEC 2021 Spring Season,Week 6,11.4,S04,MSF,0 - 1
LEC 2021 Spring Season,Week 6,11.4,XL,SK,0 - 1
LEC 2021 Spring Season,Week 6,11.4,VIT,MAD,0 - 1
LEC 2021 Spring Season,Week 6,11.4,RGE,AST,1 - 0
LEC 2021 Spring Season,Week 6,11.4,G2,FNC,1 - 0
LEC 2021 Spring Season,Week 7,11.4,S04,MAD,0 - 1
LEC 2021 Spring Season,Week 7,11.4,MSF,AST,1 - 0
LEC 2021 Spring Season,Week 7,11.4,G2,RGE,1 - 0
LEC 2021 Spring Season,Week 7,11.4,VIT,SK,1 - 0
LEC 2021 Spring Season,Week 7,11.4,FNC,XL,1 - 0
LEC 2021 Spring Season,Week 7,11.4,S04,AST,1 - 0
LEC 2021 Spring Season,Week 7,11.4,VIT,XL,1 - 0
LEC 2021 Spring Season,Week 7,11.4,FNC,SK,1 - 0
LEC 2021 Spring Season,Week 7,11.4,MSF,G2,0 - 1
LEC 2021 Spring Season,Week 7,11.4,MAD,RGE,0 - 1
LEC 2021 Spring Season,Week 8,11.1,RGE,SK,1 - 0
LEC 2021 Spring Season,Week 8,11.1,AST,VIT,1 - 0
LEC 2021 Spring Season,Week 8,11.1,FNC,S04,0 - 1
LEC 2021 Spring Season,Week 8,11.1,MSF,MAD,1 - 0
LEC 2021 Spring Season,Week 8,11.1,XL,G2,1 - 0
LEC 2021 Spring Season,Week 8,11.1,AST,SK,1 - 0
LEC 2021 Spring Season,Week 8,11.1,VIT,S04,0 - 1
LEC 2021 Spring Season,Week 8,11.1,RGE,XL,0 - 1
LEC 2021 Spring Season,Week 8,11.1,MSF,FNC,1 - 0
LEC 2021 Spring Season,Week 8,11.1,G2,MAD,0 - 1
LEC 2021 Spring Season,Week 8,11.1,VIT,MSF,1 - 0
LEC 2021 Spring Season,Week 8,11.1,S04,XL,1 - 0
LEC 2021 Spring Season,Week 8,11.1,MAD,AST,0 - 1
LEC 2021 Spring Season,Week 8,11.1,G2,SK,1 - 0
LEC 2021 Spring Season,Week 8,11.1,FNC,RGE,0 - 1
LEC 2021 Summer Season,Week 1,11.11,MAD,G2,0 - 1
LEC 2021 Summer Season,Week 1,11.11,SK,AST,0 - 1
LEC 2021 Summer Season,Week 1,11.11,RGE,XL,1 - 0
LEC 2021 Summer Season,Week 1,11.11,VIT,S04,1 - 0
LEC 2021 Summer Season,Week 1,11.11,MSF,FNC,1 - 0
LEC 2021 Summer Season,Week 1,11.11,XL,AST,0 - 1
LEC 2021 Summer Season,Week 1,11.11,SK,MSF,0 - 1
LEC 2021 Summer Season,Week 1,11.11,VIT,RGE,0 - 1
LEC 2021 Summer Season,Week 1,11.11,S04,G2,1 - 0
LEC 2021 Summer Season,Week 1,11.11,MAD,FNC,1 - 0
LEC 2021 Summer Season,Week 1,11.11,S04,XL,0 - 1
LEC 2021 Summer Season,Week 1,11.11,VIT,MSF,0 - 1
LEC 2021 Summer Season,Week 1,11.11,MAD,AST,1 - 0
LEC 2021 Summer Season,Week 1,11.11,SK,G2,0 - 1
LEC 2021 Summer Season,Week 1,11.11,RGE,FNC,0 - 1
LEC 2021 Summer Season,Week 2,11.12,SK,S04,0 - 1
LEC 2021 Summer Season,Week 2,11.12,MAD,XL,0 - 1
LEC 2021 Summer Season,Week 2,11.12,RGE,MSF,1 - 0
LEC 2021 Summer Season,Week 2,11.12,VIT,FNC,0 - 1
LEC 2021 Summer Season,Week 2,11.12,G2,AST,1 - 0
LEC 2021 Summer Season,Week 2,11.12,VIT,SK,1 - 0
LEC 2021 Summer Season,Week 2,11.12,MSF,AST,1 - 0
LEC 2021 Summer Season,Week 2,11.12,S04,MAD,0 - 1
LEC 2021 Summer Season,Week 2,11.12,FNC,XL,1 - 0
LEC 2021 Summer Season,Week 2,11.12,RGE,G2,0 - 1
LEC 2021 Summer Season,Week 3,11.12,MSF,XL,1 - 0
LEC 2021 Summer Season,Week 3,11.12,SK,MAD,0 - 1
LEC 2021 Summer Season,Week 3,11.12,S04,RGE,0 - 1
LEC 2021 Summer Season,Week 3,11.12,FNC,AST,1 - 0
LEC 2021 Summer Season,Week 3,11.12,VIT,G2,1 - 0
LEC 2021 Summer Season,Week 3,11.12,SK,XL,1 - 0
LEC 2021 Summer Season,Week 3,11.12,S04,MSF,0 - 1
LEC 2021 Summer Season,Week 3,11.12,RGE,AST,1 - 0
LEC 2021 Summer Season,Week 3,11.12,VIT,MAD,1 - 0
LEC 2021 Summer Season,Week 3,11.12,G2,FNC,0 - 1
LEC 2021 Summer Season,Week 4,11.13,VIT,AST,0 - 1
LEC 2021 Summer Season,Week 4,11.13,SK,RGE,0 - 1
LEC 2021 Summer Season,Week 4,11.13,MSF,MAD,0 - 1
LEC 2021 Summer Season,Week 4,11.13,S04,FNC,1 - 0
LEC 2021 Summer Season,Week 4,11.13,G2,XL,0 - 1
LEC 2021 Summer Season,Week 4,11.13,VIT,XL,0 - 1
LEC 2021 Summer Season,Week 4,11.13,S04,AST,0 - 1
LEC 2021 Summer Season,Week 4,11.13,SK,FNC,0 - 1
LEC 2021 Summer Season,Week 4,11.13,MSF,G2,1 - 0
LEC 2021 Summer Season,Week 4,11.13,RGE,MAD,1 - 0
LEC 2021 Summer Season,Week 5,11.13,SK,S04,1 - 0
LEC 2021 Summer Season,Week 5,11.13,MAD,XL,1 - 0
LEC 2021 Summer Season,Week 5,11.13,VIT,FNC,0 - 1
LEC 2021 Summer Season,Week 5,11.13,RGE,MSF,1 - 0
LEC 2021 Summer Season,Week 5,11.13,G2,AST,1 - 0
LEC 2021 Summer Season,Week 5,11.13,VIT,SK,1 - 0
LEC 2021 Summer Season,Week 5,11.13,S04,MAD,0 - 1
LEC 2021 Summer Season,Week 5,11.13,MSF,AST,0 - 1
LEC 2021 Summer Season,Week 5,11.13,FNC,XL,1 - 0
LEC 2021 Summer Season,Week 5,11.13,RGE,G2,0 - 1
LEC 2021 Summer Season,Week 6,11.14,MSF,XL,1 - 0
LEC 2021 Summer Season,Week 6,11.14,S04,RGE,0 - 1
LEC 2021 Summer Season,Week 6,11.14,SK,MAD,1 - 0
LEC 2021 Summer Season,Week 6,11.14,FNC,AST,1 - 0
LEC 2021 Summer Season,Week 6,11.14,VIT,G2,0 - 1
LEC 2021 Summer Season,Week 6,11.14,SK,XL,1 - 0
LEC 2021 Summer Season,Week 6,11.14,S04,MSF,0 - 1
LEC 2021 Summer Season,Week 6,11.14,VIT,MAD,0 - 1
LEC 2021 Summer Season,Week 6,11.14,RGE,AST,1 - 0
LEC 2021 Summer Season,Week 6,11.14,G2,FNC,0 - 1
LEC 2021 Summer Season,Week 7,11.14,S04,XL,0 - 1
LEC 2021 Summer Season,Week 7,11.14,VIT,MSF,0 - 1
LEC 2021 Summer Season,Week 7,11.14,MAD,AST,1 - 0
LEC 2021 Summer Season,Week 7,11.14,SK,G2,0 - 1
LEC 2021 Summer Season,Week 7,11.14,RGE,FNC,1 - 0
LEC 2021 Summer Season,Week 7,11.14,S04,AST,0 - 1
LEC 2021 Summer Season,Week 7,11.14,VIT,XL,0 - 1
LEC 2021 Summer Season,Week 7,11.14,RGE,MAD,0 - 1
LEC 2021 Summer Season,Week 7,11.14,SK,FNC,1 - 0
LEC 2021 Summer Season,Week 7,11.14,MSF,G2,0 - 1
LEC 2021 Summer Season,Week 8,11.11,VIT,S04,1 - 0
LEC 2021 Summer Season,Week 8,11.11,SK,AST,0 - 1
LEC 2021 Summer Season,Week 8,11.11,RGE,XL,1 - 0
LEC 2021 Summer Season,Week 8,11.11,MAD,G2,0 - 1
LEC 2021 Summer Season,Week 8,11.11,MSF,FNC,1 - 0
LEC 2021 Summer Season,Week 8,11.11,SK,MSF,0 - 1
LEC 2021 Summer Season,Week 8,11.11,XL,AST,1 - 0
LEC 2021 Summer Season,Week 8,11.11,VIT,RGE,1 - 0
LEC 2021 Summer Season,Week 8,11.11,S04,G2,0 - 1
LEC 2021 Summer Season,Week 8,11.11,MAD,FNC,1 - 0
LEC 2021 Summer Season,Week 8,11.11,SK,RGE,0 - 1
LEC 2021 Summer Season,Week 8,11.11,VIT,AST,1 - 0
LEC 2021 Summer Season,Week 8,11.11,S04,FNC,0 - 1
LEC 2021 Summer Season,Week 8,11.11,MSF,MAD,0 - 1
LEC 2021 Summer Season,Week 8,11.11,G2,XL,1 - 0
LEC 2022 Spring Season,Week 1,12.1,VIT,MAD,0 - 1
LEC 2022 Spring Season,Week 1,12.1,SK,RGE,0 - 1
LEC 2022 Spring Season,Week 1,12.1,G2,XL,1 - 0
LEC 2022 Spring Season,Week 1,12.1,MSF,AST,1 - 0
LEC 2022 Spring Season,Week 1,12.1,BDS,FNC,0 - 1
LEC 2022 Spring Season,Week 1,12.1,RGE,MSF,1 - 0
LEC 2022 Spring Season,Week 1,12.1,BDS,XL,1 - 0
LEC 2022 Spring Season,Week 1,12.1,SK,MAD,1 - 0
LEC 2022 Spring Season,Week 1,12.1,G2,AST,1 - 0
LEC 2022 Spring Season,Week 1,12.1,VIT,FNC,0 - 1
LEC 2022 Spring Season,Week 1,12.1,BDS,MSF,0 - 1
LEC 2022 Spring Season,Week 1,12.1,VIT,XL,0 - 1
LEC 2022 Spring Season,Week 1,12.1,RGE,AST,1 - 0
LEC 2022 Spring Season,Week 1,12.1,SK,FNC,0 - 1
LEC 2022 Spring Season,Week 1,12.1,MAD,G2,1 - 0
LEC 2022 Spring Season,Week 2,12.1,MSF,XL,1 - 0
LEC 2022 Spring Season,Week 2,12.1,FNC,AST,1 - 0
LEC 2022 Spring Season,Week 2,12.1,SK,G2,0 - 1
LEC 2022 Spring Season,Week 2,12.1,VIT,BDS,1 - 0
LEC 2022 Spring Season,Week 2,12.1,RGE,MAD,1 - 0
LEC 2022 Spring Season,Week 2,12.1,SK,XL,0 - 1
LEC 2022 Spring Season,Week 2,12.1,MAD,AST,1 - 0
LEC 2022 Spring Season,Week 2,12.1,BDS,RGE,0 - 1
LEC 2022 Spring Season,Week 2,12.1,MSF,FNC,0 - 1
LEC 2022 Spring Season,Week 2,12.1,VIT,G2,1 - 0
LEC 2022 Spring Season,Week 3,12.2,BDS,AST,1 - 0
LEC 2022 Spring Season,Week 3,12.2,MAD,XL,1 - 0
LEC 2022 Spring Season,Week 3,12.2,VIT,SK,1 - 0
LEC 2022 Spring Season,Week 3,12.2,RGE,FNC,1 - 0
LEC 2022 Spring Season,Week 3,12.2,MSF,G2,0 - 1
LEC 2022 Spring Season,Week 3,12.2,BDS,SK,1 - 0
LEC 2022 Spring Season,Week 3,12.2,XL,AST,1 - 0
LEC 2022 Spring Season,Week 3,12.2,MSF,MAD,1 - 0
LEC 2022 Spring Season,Week 3,12.2,VIT,RGE,0 - 1
LEC 2022 Spring Season,Week 3,12.2,G2,FNC,1 - 0
LEC 2022 Spring Season,Week 4,12.2,SK,AST,1 - 0
LEC 2022 Spring Season,Week 4,12.2,RGE,XL,1 - 0
